STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,4715.409,36.33172302,1.369980764,16.107,281.111,4.669694852,0.177060882,49.77376167,44.33885631,5.242090076,,-2
1,9076.926,37.43643782,2.559324611,26.713,527.216,2.391698263,0.181731959,95.81199667,44.02377701,5.205218669,,
1,11978.364,35.92414788,3.519590418,36.542,712.905,1.913898929,0.177356431,126.4382867,45.23912131,5.349133546,,
1,13606.691,35.29686066,4.069092267,40.619,820.486,1.637532102,0.175050132,143.6261828,44.80440698,5.249315878,,
1,13953.936,34.55571704,4.262436415,45.436,861.077,1.629109283,0.171055024,147.2915467,44.4929274,5.393082453,,
1,13292.588,34.52448346,4.064091249,45.639,822.329,1.569911466,0.170625931,140.3106511,44.27935551,4.974672677,,
1,11489.772,34.72557848,3.492553097,44.332,710.81,1.95431454,0.170623552,121.2809267,44.59308543,5.315197998,,
1,8525.86,35.3205551,2.547955111,40.465,528.377,2.601340565,0.17032382,89.99518889,45.10299091,5.190523529,,
1,4520.584,37.16902914,1.283791282,28.451,282.953,5.280277204,0.168640289,47.71727556,44.41505899,5.672860694,,
1,4527.941,36.44619486,1.311383341,16.851,270.432,4.808972102,0.176735493,47.79493278,45.20242837,5.084782093,,
1,8920.137,37.4838267,2.511936746,26.405,517.215,2.580676223,0.182046154,94.15700167,44.12096888,5.507329997,,
1,12007.216,36.33187688,3.488474762,33.892,705.254,1.704068544,0.179712324,126.7428356,43.73283104,4.938589021,,
1,13634.251,35.45856752,4.058739649,39.568,817.75,1.529855326,0.175991555,143.9170939,45.31066591,4.859172298,,
1,14013.415,34.70880774,4.261724622,44.441,860.261,1.614390573,0.171947096,147.9193806,45.20354968,5.282763306,,
1,13361.992,34.6743431,4.067654533,44.665,822.385,1.511044278,0.171505133,141.0432489,44.05528664,4.837616785,,
1,11564.786,34.87113004,3.500682111,43.386,711.678,1.772262139,0.171528052,122.0727411,42.45547717,5.095806519,,
1,8511.559,35.4874932,2.531715424,39.38,524.108,2.436752691,0.17142313,89.84423389,43.24555629,5.062443346,,
